,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,77.29,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
6,Feijo,BR,83.59,scattered clouds,-8.1642,-70.3536,Hotel JOAFRAN
12,Moron,AR,86.97,overcast clouds,-34.6534,-58.6198,La Esquina
14,Hilo,US,78.28,overcast clouds,19.7297,-155.09,Dolphin Bay Hotel
17,Cayenne,GF,84.24,scattered clouds,4.9333,-52.3333,Central Hôtel
19,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
22,Cozumel,MX,82.08,moderate rain,20.5083,-86.9458,Hotel Isla Esmeralda
25,Atuona,PF,77.58,scattered clouds,-9.8,-139.0333,Pearl Resort
26,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti International Resort
35,Bredasdorp,ZA,70.07,overcast clouds,-34.5322,20.0403,Victoria Hotel
36,Mar Del Plata,AR,86.83,scattered clouds,-38.0023,-57.5575,Nuevo Ostende
40,Sao Jose Da Coroa Grande,BR,84.47,broken clouds,-8.8978,-35.1478,Hotel do Sol
43,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
45,Grand Gaube,MU,79.2,scattered clouds,-20.0064,57.6608,Coco Villa
50,Waingapu,ID,78.64,light rain,-9.6567,120.2641,HOTEL SANDLEWOOD
52,Castro,BR,73.18,scattered clouds,-24.7911,-50.0119,Hotel Central Palace
58,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
69,Sao Filipe,CV,78.24,few clouds,14.8961,-24.4956,Bela Vista
79,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
81,Pitimbu,BR,88.39,few clouds,-7.4706,-34.8086,Pousada Brisa Mar
88,Vaitape,PF,80.15,light rain,-16.5167,-151.75,Oa Oa Lodge
97,Kapaa,US,73.72,clear sky,22.0752,-159.319,Pono Kai Resort
99,Port Hedland,AU,82.45,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
105,San Pedro,PH,78.03,broken clouds,14.35,121.0167,Hotel Takara
111,Cape Town,ZA,73.38,broken clouds,-33.9258,18.4232,Townhouse Hotel
112,Wembley,AU,74.01,clear sky,-31.9333,115.8,Vibe Hotel Subiaco
