City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Barrow,US,71.2906,-156.7887,5.02,85,100,5.75,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,77.29,73,100,11.74,overcast clouds
2,Fairbanks,US,64.8378,-147.7164,-0.44,68,0,16.11,clear sky
3,Baruun-Urt,MN,46.6806,113.2792,-8.59,82,1,4.45,clear sky
4,Elizabeth City,US,36.2946,-76.2511,50.02,55,78,23.47,broken clouds
5,Bambous Virieux,MU,-20.3428,57.7575,79.05,69,40,5.75,scattered clouds
6,Feijo,BR,-8.1642,-70.3536,83.59,81,27,2.75,scattered clouds
7,Tazlau,RO,46.7167,26.4667,25.3,79,31,4.41,scattered clouds
8,Tasiilaq,GL,65.6145,-37.6368,-3.77,62,0,3.76,clear sky
9,Lagos,NG,6.5833,3.75,91.72,43,52,6.96,broken clouds
10,Kodiak,US,57.79,-152.4072,35.11,80,100,21.85,snow
11,Seminole,US,28.7086,-81.2081,73.09,86,100,14.97,overcast clouds
12,Moron,AR,-34.6534,-58.6198,86.97,50,85,5.46,overcast clouds
13,Idritsa,RU,56.3316,28.8988,33.96,100,100,8.66,overcast clouds
14,Hilo,US,19.7297,-155.09,78.28,80,100,8.01,overcast clouds
15,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,65,75,8.05,broken clouds
16,Airai,TL,-8.9266,125.4092,60.91,94,100,0.98,overcast clouds
17,Cayenne,GF,4.9333,-52.3333,84.24,65,40,12.66,scattered clouds
18,Bonthe,SL,7.5264,-12.505,83.53,60,27,11.97,scattered clouds
19,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,73,85,11.74,overcast clouds
20,Panguna,PG,-6.3164,155.4848,69.06,97,100,1.9,light rain
21,Butaritari,KI,3.0707,172.7902,81.07,77,100,21.83,overcast clouds
22,Cozumel,MX,20.5083,-86.9458,82.08,82,29,3.0,moderate rain
23,Qaanaaq,GL,77.484,-69.3632,-17.3,61,1,8.57,clear sky
24,Saskylakh,RU,71.9167,114.0833,-17.25,96,98,3.67,overcast clouds
25,Atuona,PF,-9.8,-139.0333,77.58,79,38,17.38,scattered clouds
26,Vaini,TO,-21.2,-175.2,75.36,100,20,6.91,light rain
27,Hobart,AU,-42.8794,147.3294,59.05,91,100,4.61,overcast clouds
28,Bluff,NZ,-46.6,168.3333,53.62,80,100,1.99,overcast clouds
29,Upernavik,GL,72.7868,-56.1549,-1.01,91,24,12.39,few clouds
30,Bonavista,CA,48.6499,-53.1147,30.58,68,98,11.61,overcast clouds
31,Nikolskoye,RU,59.7035,30.7861,33.8,99,100,7.02,overcast clouds
32,Punta Arenas,CL,-53.15,-70.9167,53.11,40,25,25.7,scattered clouds
33,Albany,US,42.6001,-73.9662,48.85,85,99,4.0,moderate rain
34,Mataura,NZ,-46.1927,168.8643,51.33,100,100,0.83,overcast clouds
35,Bredasdorp,ZA,-34.5322,20.0403,70.07,68,85,18.63,overcast clouds
36,Mar Del Plata,AR,-38.0023,-57.5575,86.83,79,40,15.99,scattered clouds
37,Ushuaia,AR,-54.8,-68.3,49.66,50,75,23.02,broken clouds
38,Tiksi,RU,71.6872,128.8694,-11.52,99,75,2.01,broken clouds
39,Kutum,SD,14.2,24.6667,66.22,33,77,9.57,broken clouds
40,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,84.47,61,69,13.51,broken clouds
41,Talnakh,RU,69.4865,88.3972,-14.33,96,89,10.0,overcast clouds
42,Hermanus,ZA,-34.4187,19.2345,67.8,81,99,16.02,overcast clouds
43,Puerto Ayora,EC,-0.7393,-90.3518,78.76,94,68,7.0,broken clouds
44,Bahia Honda,CU,22.9036,-83.1592,81.07,56,99,5.37,overcast clouds
45,Grand Gaube,MU,-20.0064,57.6608,79.2,67,47,1.99,scattered clouds
46,Vrangel,RU,42.7297,133.0839,25.03,64,100,21.99,overcast clouds
47,Iwanai,JP,42.9744,140.5089,35.82,98,100,9.4,light rain
48,Baoshan,CN,46.5586,131.4244,2.17,93,28,7.43,scattered clouds
49,Okhotsk,RU,59.3833,143.3,12.13,72,100,14.34,overcast clouds
50,Waingapu,ID,-9.6567,120.2641,78.64,84,100,7.47,light rain
51,Dingle,PH,10.9995,122.6711,75.15,90,100,14.32,overcast clouds
52,Castro,BR,-24.7911,-50.0119,73.18,55,37,6.42,scattered clouds
53,Bismarck,US,46.8083,-100.7837,-11.36,72,0,20.71,clear sky
54,Pevek,RU,69.7008,170.3133,-5.35,86,1,2.37,clear sky
55,Belaya Gora,RU,68.5333,146.4167,-29.7,99,75,3.11,broken clouds
56,Cherskiy,RU,68.75,161.3,-2.31,82,4,1.28,clear sky
57,Kavaratti,IN,10.5669,72.642,81.72,67,97,10.6,overcast clouds
58,Souillac,MU,-20.5167,57.5167,79.18,69,40,5.75,scattered clouds
59,Coxim,BR,-18.5067,-54.76,97.9,26,0,2.13,clear sky
60,Naze,JP,28.3667,129.4833,49.12,73,99,24.96,light rain
61,Vardo,NO,70.3705,31.1107,26.58,93,75,12.66,light snow
62,Carnarvon,AU,-24.8667,113.6333,77.7,77,2,9.08,clear sky
